# wavelength(um)  R_ey
8.707317073170730559e-01 1.589656914382886477e-01
8.796714579055440186e-01 2.003172839162325330e-02
8.887966804979251512e-01 1.871105417882584498e-01
8.981132075471697229e-01 5.708527280788493891e-02
9.076271186440677541e-01 8.752163540394854169e-02
9.173447537473232716e-01 4.638709278360001603e-02
9.272727272727271375e-01 1.036278888621825801e-02
9.374179431072208191e-01 6.710454603222797132e-02
9.477876106194688122e-01 1.372849280314323260e-02
9.583892617449664142e-01 1.105053368289432986e-01
9.692307692307691180e-01 1.203408908888609595e-02
9.803203661327229979e-01 5.675429388705244271e-03
9.916666666666664742e-01 2.511967128086652415e-02
1.003278688524590123e+00 2.425588968596155762e-02
1.015165876777251119e+00 2.313207253046494979e-02
1.027338129496402797e+00 1.804746619582109357e-02
1.039805825242718251e+00 8.797844660068346312e-02
1.052579852579852426e+00 5.439011157557444021e-02
1.065671641791044566e+00 3.668444762483922400e-02
1.079093198992443048e+00 2.116105637620082497e-02
1.092857142857142527e+00 6.112992996441441763e-03
1.106976744186046302e+00 1.130025332275630054e-02
1.121465968586387252e+00 5.671514150376297247e-03
1.136339522546418790e+00 3.905586505544950907e-03
1.151612903225806228e+00 5.828875190588342706e-03
1.167302452316075989e+00 7.262254190237798709e-03
1.183425414364640771e+00 1.057032107343539029e-02
1.199999999999999734e+00 1.378221781071618281e-02
